작성자,날짜,댓글내용
hhc8****,2020.05.30. 21:58,뭐든 지켜본다는게 더민주당 슬로건?!조국 정경심도 지켜본다. 울산시장 선거개입도 지켜본다. 정의연 비리 당사자를 국회의원 만들어놓고 지켜본다. 국민들 지탄은 아예 무시해도 된다고 당론이라도 정한건지. 내로남불당이라고 그렇게 욕을 먹어도 여전히 내로남불이구만
top4****,2020.05.30. 21:39,윤미햐ㅇ이 누구한테돈받쳐 의원 됐는지도 특검하자
park****,2021.04.06. 18:10,온갖 비리의 온상인 조국에 이어 윤미향같은 비리백화점을 감싸고 방어에 급급한 민주당 개의원들은 본인들의 더러운 과거까지 들춰질까 두려운거겠지. 정의라는 거짓탈을 쓰고 공산정권과 다름없는 추악한 민낯을 보여주는 이들이야 말로 적폐중의 적폐가 아닌가 싶다.
jh2f****,2020.05.30. 20:59,댓글들 대부분이 죄가있냐없냐다 근데 실질적으로 저기있는 도둑년은 고통스럽게 살아온 할머니들에게 해준게 없다.. 지 새끼 지배부르려고 한게 눈에 보인다.. 전원주택에 그 할머니들 살아가게 한게 아니고 지 가족 지 부모 지 새끼만 생각한 진짜 도둑인거다... 왜 모금을 한거고 왜 도움을 주려고 한거고 왜 힘내시라고 한거면 최소한 여기에 글다는 대깨문 민주당 새끼들은 저년 꼭 벌받게해라 사람이 사람으로서 해야할짓이 어느 정도껏 있는거 아니냐??
prea****,2020.06.05. 08:16,퇴출운동 찬성합니다
skeh****,2020.05.30. 20:40,저런 악마가 국회의원이라니? 이게 대한민국 좌빨정부 수준이냐?
dlwn****,2020.05.30. 21:43,검찰 못믿는다 개소리할땐 언제고 이제와서 검찰수사?? 역겹다 진짜
kr53****,2020.05.30. 20:31,이런 미췬 양파년 문슨 의원이야 퇴출운동 필요함 저 사각턱주가리 한대 날리고 싶다
idni****,2020.05.30. 20:02,본인들 적폐 청산은 ㅈ나 느긋하네~ 박그네 탄핵때도 그렇게 느긋했냐? 빨갱이새ㄴ끼들
shil****,2020.05.30. 19:54,민주당이 통합당에서 지금 윤미향사건과 털끝만큼이라도 비슷한 사건이 있었다면 신중론을 펼쳤을까 부끄럽다 거대야당이라는 데가 저 정도니
khkh****,2020.05.31. 09:36,유리할땐 국민의 뜻 불리할땐 신중하게...민주당아 너희들 원칙이라는것 처음부터 없었지 그냥 그때 그때 상황따라 바뀌는게 원칙인거지?
left****,2020.05.31. 09:28,맨날 검찰못믿는다면서 이럴땐 또 수사결과 지켜보자 ㅇㅈㄹ ㅋㅋㅋ 결과 안좋게 나오면 또 '정치검찰'이라 하겠지 ㅋㅋㅋㅋㅋ 머깨문들 빼고 우린 다~~알아. 바보가 아니라구
koal****,2020.05.31. 00:00,죽이고싶다!
kwbi****,2020.05.30. 22:49,사퇴하고 깜방가라 진짜 요즘 저녕 얼굴보는 거 스트레스다
obbw****,2020.05.30. 22:48,정의가 살아있는걸 확인하고 싶다....ㅠㅠ몰상식하고 가증스러운 저 여자는 국민들 분노를 자아내고있다. 기꺼이 촛불 들겠습니다.
kiho****,2020.05.30. 20:46,"이번에는 더불어민주당은 왜 촛불 안들지? 촛불로 성했는데, 과거 여당시절 비리가, 지금 여당의 비리와 다른게 뭔지! 내로남불인데. 부끄러움까지도 없다. 궤변론자들의 모임 더러운 민주당"
yys0****,2020.05.30. 20:35,딱봐도 수쓰는거보이고 딱봐도 손절해야하는 저 인간을 감싸는거 자체가 국민에대한 모독이자 국민을 개돼지취급하는거다
jpop****,2020.05.30. 20:32,이번에 다 바꾸자~국회의원도 다 다시뽑고 대통령도 다시뽑자
fhf1****,2020.07.10. 00:58,"짬짜미 장학생/sns없으면 못살듯 보이는 曺마네기처럼 과거 본인이 sns에 올린 증거들 글고 밝힌바 남편 연봉 2,600정도 수준이지만 몇시간씩 걸어서 통학하는 뚜벅이 딸 UCLA음머 연간학비 11만$, 집 5채 현금 구입, 요상야릇한 우덜식 회계장부/위안부할머님들 배고프시다 말하면 돈없다 가라/매주 앵벌이 일당 13만원내외/빨머꼿아서 위안부AI만들어서 천년만년 화수분처럼 우덜식 나눠처묵/우덜식 꿀물빠는게 당연한걸 어쩌고 저쩌면서 문제삼으니 왕짜증/진정성 있든 없든간 전세계 상머 앵벌이한 엄청난 금전, 그 누가 처묵했냐ㅋ"
keh0****,2020.05.31. 11:01,더부러더러운당
